year	doy	t_max	t_min	par	precip	o3	co2_atm	nh4_dep	no3_dep
1706	15	4.49	-4.9	276.959	6.28	0	282.506	0.00928	0.003227
1706	46	6.672	-2.455	302.855	3.15	0	282.506	0.00928	0.003227
1706	74	12.077	2.016	474.568	5.06	0.048	282.506	0.00928	0.003227
1706	105	15.063	5.15	697.091	8.51	0.708	282.506	0.00928	0.003227
1706	135	17.597	9.113	714.852	10.6	2.506	282.506	0.00928	0.003227
1706	166	22.82	14.563	565.416	8.62	0.58	282.506	0.00928	0.003227
1706	196	29.006	18.832	644.814	9.81	0.862	282.506	0.00928	0.003227
1706	227	28.016	18.965	652.8	12.06	1.324	282.506	0.00928	0.003227
1706	258	24.793	14.753	550.231	9.36	1.652	282.506	0.00928	0.003227
1706	288	18.171	9.51	409.552	8.21	0.304	282.506	0.00928	0.003227
1706	319	11.97	3.927	250.906	9.37	0	282.506	0.00928	0.003227
1706	349	7.547	0.35	158.042	9.3	0.04	282.506	0.00928	0.003227
1707	15	4.4	-3.965	276.959	9.63	0	282.512	0.00928	0.003227
1707	46	1.541	-6.434	302.855	14.33	0	282.512	0.00928	0.003227
1707	74	4.874	-1.494	474.568	17.28	0.048	282.512	0.00928	0.003227
1707	105	12.727	2.997	697.091	4.11	0.708	282.512	0.00928	0.003227
1707	135	19.21	8.494	714.852	5.37	2.506	282.512	0.00928	0.003227
1707	166	23.603	13.723	565.416	29.53	0.58	282.512	0.00928	0.003227
1707	196	30.029	21.294	644.814	8.15	0.862	282.512	0.00928	0.003227
1707	227	26.419	16.755	652.8	8.7	1.324	282.512	0.00928	0.003227
1707	258	24.603	14.55	550.231	7.34	1.652	282.512	0.00928	0.003227
1707	288	19.252	9.523	409.552	1.96	0.304	282.512	0.00928	0.003227
1707	319	12.013	1.767	250.906	2.82	0	282.512	0.00928	0.003227
1707	349	4.803	-3.637	158.042	12.58	0.04	282.512	0.00928	0.003227
1708	15	2.297	-6.661	276.959	14.37	0	282.517	0.00928	0.003227
